id,name,product_code,showroom_qty,warehouse_qty,product_categories_string,buy_account,sell_account,inventory_asset_account
49593045,20521853 JARVFJALLET office chr w armr Grann white AP Article Number: 20521853,,0,0,,Aktiva Kelompok I (Fixed Assets - Office Equipment),Sales - Mattress,
44254609,Accessories - Top Centre Complete 8066 - Double swing door,,0,0,,Bangunan (Fixed Asset - Building),Sales - Mattress,
48312606,Additional cost for 1L bottle for diffuser,WRRDLQ1L,0.0,0,"Wellness, Material",COGS - Bed Accessories,Sales - Bed Accessories,Inventory - Bed Accessories
50667751,Additional Discount,,0,0,,COGS - Mattress,Discounts given,
45503882,Alami Candle,,0,0,pop-up,COGS - Mattress,Sales - Consignment,
51329797,"Apple iPhone 15 128GB, Black",,0,0,Showroom Equipment,Aktiva Kelompok I (Fixed Assets - Office Equipment),Sales - Mattress,
51371181,Bali Sama Sama,,0,0,Consignment,COGS - Mattress,Sales - Consignment,
44269695,Bali Showroom 1st Floor,,0,0,,Bangunan (Fixed Asset - Building),Sales - Mattress,
44269712,Bali Showroom 2nd Floor,,0,0,,Bangunan (Fixed Asset - Building),Sales - Mattress,
44269660,Bali Showroom Additional Items,,0,0,,Bangunan (Fixed Asset - Building),Sales - Mattress,
44269648,Bali Showroom Hanging Lamp,,0,0,,Aktiva Kelompok I (Fixed Assets - Office Equipment),Sales - Mattress,
44365414,Bali Showroom Kalpataru,,0,0,,Bangunan (Fixed Asset - Building),Sales - Mattress,
44269620,Bali Showroom Structural Works,,0,0,,Bangunan (Fixed Asset - Building),Sales - Mattress,
44269728,Bali Showroom Tempered Glass,,0,0,,Bangunan (Fixed Asset - Building),Sales - Mattress,
49037812,Bamboo  Bundle Fitted Sheet + 2 Pillow Cases - Custom Size (240x200) - White,SSW2CS240X200FI,0.0,0.0,Bamboo Fitted Sheet,COGS - Mattress,Sales - Bamboo Bedsheet,Inventory - Bedsheets
38436647,Bamboo  Bundle Fitted Sheet + 2 Pillow Cases - Custom Size (W200cm x L200cm x 30cm) - White,SSWCS200X200X30FI,0.0,0.0,,COGS - Mattress,Sales - Bamboo Bedsheet,Inventory - Bedsheets
37676130,Bamboo - Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Burnt Orange,SSBO2K240X220DU	,3.0,24.0,Bamboo Duvet Sheet,COGS - Bedsheet,Sales - Bamboo Bedsheet,Inventory - Bedsheets
37675447,Bamboo - Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm)  - Burnt Orange,SSBO2K180X200FI,7.0,20.0,Bamboo Fitted Sheet,COGS - Bedsheet,Sales - Bamboo Bedsheet,Inventory - Bedsheets
50143537,Bamboo Bolster Case Sand - Travel Mini Bolster,,0.0,0.0,,COGS - Mattress,Sales - Bed Accessories,Inventory - Bed Accessories
41909657,Bamboo Bolster Case Set (1 Bolster Case) - Custom made 104cm x 40cm,BCCSMG104X40,0.0,0.0,,COGS - Bedsheet,Sales - Bamboo Bedsheet,Inventory - Bedsheets
53905128,Bamboo Bolster Case Set (1 Bolster Case) - Custom Size ø34.5 cm x L107 cm - White,,0.0,0,Bamboo Bolster Case,COGS - Mattress,Sales - Bed Accessories,Inventory - Bed Accessories
