id,transaction_no,line,item,qty,unit,delivered,remain_qty,po_no,warehouse_option,delivery_date,status,description
85,13314,1,Heveya Natural Organic Latex Mattress I -  Super King  (W200cm x L200cm) - Medium,1,Pcs,0,1,,,,prepared,
86,13314,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,0,1,,,,prepared,TBC
87,13335,1,Heveya Natural Organic Latex Mattress III - Custom Size (W193cm x L203cm) - Firm,1,Pcs,0,1,,,,prepared,193 x 203
88,13335,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,2,Pcs,0,2,,,,prepared,
89,13350,1,Heveya Natural Organic Latex Mattress III - Super King (W200cm x L200cm) - Soft.,1,Pcs,0,1,,,,prepared,
90,13356,1,Heveya Hospitality Mattress - King (W180cm x L200cm),12,Pcs,0,12,,,,prepared,
91,13356,2,Heveya Natural Organic Latex  Topper - King (W180cm x L200cm) - Soft,12,Pcs,0,12,,,,prepared,
92,13356,3,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,24,Pcs,0,24,,,,prepared,
93,13356,4,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,24,Pcs,0,24,,,,prepared,
94,13356,5,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3,4,Pcs,0,4,,,,prepared,
95,13356,6,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,4,Pcs,0,4,,,,prepared,
96,13356,7,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),2,Pcs,0,2,,,,prepared,
97,13356,8,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),2,Pcs,0,2,,,,prepared,
98,13366,1,Heveya Natural Organic Latex Mattress III - Super King (W200cm x L200cm) - Medium/Firm,1,Pcs,0,1,,,,prepared,
99,13366,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,2,Pcs,0,2,,,,prepared,
100,13363,1,Bamboo Bundle Fitted Sheet Set + 2 Pillow Cases - Custom Size (W240cm x L210cm) - Sand,1,Set,0,1,,,,prepared,
101,13363,2,Bamboo Duvet Sheet Set + 2 Pillow Cases - Custom Size (290cm x 330cm) - Sand,1,Set,0,1,,,,prepared,
102,13363,3,Heveya Sheet Bags,1,Pcs,0,1,,,,prepared,
103,12644,1,Heveya Natural Organic Latex Mattress III - Family Mattress ( 270cm x 210) - Medium/Firm,1,Pcs,0,1,,,,prepared,
104,12644,2,Heveya Natural Organic Latex Mattress III - King (W180cm x L200cm) - Soft/Medium,1,Pcs,0,1,,,,prepared,
105,12644,3,Heveya Natural Organic Latex Mattress II - Queen (W160cm x L200cm) - Medium,1,Pcs,0,1,,,,prepared,
106,12644,4,Heveya Natural Organic Latex Mattress III - Custom Size (W120cm x L200cm) - Medium,1,Pcs,0,1,,,,prepared,Size TBC
107,12644,5,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),4,Pcs,0,4,,,,prepared,
108,12644,6,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,0,1,,,,prepared,
109,12644,7,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,2,Pcs,0,2,,,,prepared,
110,12644,8,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,3,Pcs,0,3,,,,prepared,
111,12644,9,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 6,2,Pcs,0,2,,,,prepared,
112,12644,10,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 5,2,Pcs,0,2,,,,prepared,
113,12644,11,Bamboo Teak Pillow Mist - 5ml.,2,Pcs,0,2,,,,prepared,TAKEN
114,12644,12,Heveya Natural Organic Latex Mattress III - Custom Size (W120cm x L200cm) - Soft,1,Pcs,0,1,,,,prepared,Size TBC
115,13375,1,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),1,Pcs,0,1,,,,prepared,Thank You Card 350k
116,13375,2,Heveya Pillow Bags,1,Pcs,0,1,,,,prepared,
117,13375,3,Bottle - Pillow Mist - 5ml,2,Pcs,0,2,,,,prepared,
118,13198,1,Heveya Natural Organic Latex Mattress III - Super King (W200cm x L200cm) -  Firm,1,Pcs,0,1,,,,prepared,
119,13198,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,2,Pcs,0,2,,,,prepared,
120,13392,1,Bamboo Fitted Sheet Set + 2 Pillow Cases  - Super King (200cm x 200cm) - Dark Grey,1,Set,0,1,,,,prepared,
121,13392,2,Heveya Sheet Bags,1,Pcs,0,1,,,,prepared,
122,13399,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,0,1,,,,prepared,
123,13399,2,Heveya Pillow Bags,1,Pcs,0,1,,,,prepared,
124,13402,1,Bamboo Bundle Fitted Sheet Set + 2 Pillow Cases - Custom Size 137cm x 200cm - Dark Grey,1,Set,0,1,,,,prepared,
125,13402,2,Small Packaging Box,1,Pcs,0,1,,,,prepared,
126,13410,1,Heveya Ombre Cotton - 224cm x 122cm - Throw Chocolate,1,Pcs,0,1,,,,prepared,
127,13410,2,Heveya Gift Card Box,1,Pcs,0,1,,,,prepared,
128,13410,3,Heveya Sheet Bags,1,Pcs,0,1,,,,prepared,
129,13408,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3,1,Pcs,0,1,,,,prepared,
130,13408,2,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,0,1,,,,prepared,
131,13408,3,Heveya Pillow Bags,1,Pcs,0,1,,,,prepared,
132,13407,1,Heveya Natural Organic Latex Mattress III - King (W180cm x L200cm) - Firm.,1,Pcs,0,1,,,,prepared,
133,13407,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,2,Pcs,0,2,,,,prepared,
134,13407,3,Heveya Pillow Bags,1,Pcs,0,1,,,,prepared,
135,13404,1,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Pinstriped,1,Set,0,1,,,,prepared,
136,13404,2,Linen Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm)  - Natural,1,Set,0,1,,,,prepared,
137,13404,3,Linen  Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm) - Olive Stripe,1,Set,0,1,,,,prepared,
138,13404,4,Heveya Duvet Bag,1,Pcs,0,1,,,,prepared,
139,13217,1,Heveya Natural Organic Latex Mattress I - Custom Size (W110cm x L200cm) - Medium,1,Pcs,0,1,,,,prepared,
140,13217,2,Heveya Matras Protector - Custom Size W110cm x L200cm,1,Pcs,0,1,,,,prepared,
141,13244,1,Heveya Natural Organic Latex Mattress I - Custom Size (W240cm x L210cm) - Soft/Medium,1,Pcs,0,1,,,,prepared,
142,13244,2,Heveya Natural Organic Latex Topper - Custom Size W240cm x L210,1,Pcs,0,1,,,,prepared,
143,13244,3,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,0,1,,,,prepared,
144,13244,4,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3,1,Pcs,0,1,,,,prepared,
145,13244,5,Heveya Matras Protector - Custom Size W240cm x L210cm,1,Pcs,0,1,,,,prepared,
146,13244,6,Bamboo Bundle Fitted Sheet Set + 2 Pillow Cases - Custom Size (W240cm x L210cm) - Sand,1,Set,0,1,,,,prepared,
147,13244,7,Bamboo Bundle Fitted Sheet + 2 Pillow Cases - Custom Size W240 x L210 - Sage,1,Set,0,1,,,,prepared,
148,13244,8,Heveya Pillow Bags,1,Pcs,0,1,,,,prepared,
149,13244,9,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,0,1,,,,prepared,
150,13264,1,Heveya Hospitality Mattress - King (W180cm x L200cm),1,Pcs,0,1,,,,prepared,Firm - 10cm rebound + 2 x 5cm a grad PULSE D80 on top (sides uncovered)
151,13264,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3,1,Pcs,0,1,,,,prepared,
152,13264,3,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),1,Pcs,0,1,,,,prepared,
153,13264,4,Bolster Bag,1,Pcs,0,1,,,,prepared,
154,13264,5,Heveya Pillow Bags,1,Pcs,0,1,,,,prepared,
155,13074,1,Heveya Natural Organic Latex III - Queen (W160cm x L200cm) - Firm,3,Pcs,0,3,,,,prepared,
