Size,Category,Subcategory,Firmness,SKU,name,Unit,Normal Price IDR,unit cost,image_url,showroom_qty,warehouse_qty
Super King 200x200,Mattress,Heveya I,Soft,MEU1SK200X200S,Heveya Natural Organic Latex Mattress  I -  Super King (W200cm x L200cm) - Soft,Pcs,"36,000,000","11,336,764",mattress-heveya-I.png,,
Super King 200x200,Mattress,Heveya I,Medium,MEU1SK200X200M,Heveya Natural Organic Latex Mattress I -  Super King  (W200cm x L200cm) - Medium,Pcs,"36,000,000","12,332,279",mattress-heveya-I.png,,
Super King 200x200,Mattress,Heveya I,Firm,MEU1SK200X200F,Heveya Natural Organic Latex Mattress I  -  Super King (W200cm x L200cm) - Firm,Pcs,"36,000,000","13,825,459",mattress-heveya-I.png,,
Super King 200x200,Mattress,Heveya II,Soft,MEU2SK200X200S,Heveya Natural Organic Latex  Mattress II  - Super King (W200cm x L200cm) - Soft,Pcs,"46,500,000","13,937,815",mattress-heveya-II.png,,
Super King 200x200,Mattress,Heveya II,Medium,MEU2SK200X200M,Heveya Natural Organic  Latex Mattress II -  Super King (W200cm x L200cm) - Medium,Pcs,"46,500,000","15,099,403",mattress-heveya-II.png,,
Super King 200x200,Mattress,Heveya II,Firm,MEU2SK200X200F,Heveya Natural Organic Latex Mattress II - Super King (W200cm x L200cm) - Firm,Pcs,"46,500,000","16,924,174",mattress-heveya-II.png,,
Super King 200x200,Mattress,Heveya III,Soft,MEU3SK200X200S,Heveya Natural Organic Latex Mattress III - Super King (W200cm x L200cm) - Soft,Pcs,"54,000,000","17,898,154",mattress-heveya-III.png,,
Super King 200x200,Mattress,Heveya III,Medium,MEU3SK200X200M,Heveya Natural Organic Latex Mattress III -  Super King (W200cm x L200cm) - Medium,Pcs,"54,000,000","19,059,743",mattress-heveya-III.png,,
Super King 200x200,Mattress,Heveya III,Firm,MEU3SK200X200F,Heveya Natural Organic Latex Mattress III - Super King (W200cm x L200cm) -  Firm,Pcs,"54,000,000","20,884,513",mattress-heveya-III.png,,
Super King 200x200,Mattress,Hospitality,,MEUHSK200X200,Heveya Hospitality Mattress - Super King (W200cm x L200cm),Pcs,"23,400,000","8,905,225",mattress-heveya-hospitality.png,,
Super King 200x200,Mattress,Topper,,TEU1SK200X200S,Heveya Natural Organic Latex Topper   -  Super King (W200cm x L200cm) - Soft,Pcs,"13,500,000","4,735,440",mattress-heveya-topper.png,,
King 180x200,Mattress,Heveya I,Soft,MEU1K200X180S,Heveya Natural Organic Latex Mattress I  -  King (W180cm x L200cm) - Soft,Pcs,"32,500,000","10,422,332",mattress-heveya-I.png,,
King 180x200,Mattress,Heveya I,Medium,MEU1K200X180M,Heveya Natural Organic Latex Mattress I - King (W180cm x L200cm) - Medium,Pcs,"32,500,000","11,318,314",mattress-heveya-I.png,,
King 180x200,Mattress,Heveya I,Firm,MEU1K200X180F,Heveya Natural Organic Latex Mattress I - King (W180cm x L200cm) - Firm,Pcs,"32,500,000","12,662,286",mattress-heveya-I.png,,
King 180x200,Mattress,Heveya II,Soft,MEU2K200X180S,Heveya Natural Organic Latex Mattress II - King (W180cm x L200cm) - Soft,Pcs,"42,000,000","12,753,597",mattress-heveya-II.png,,
King 180x200,Mattress,Heveya II,Medium,MEU2K200X180M,Heveya Natural Organic Latex Mattress II - King (W180cm x L200cm) - Medium,Pcs,"42,000,000","13,798,785",mattress-heveya-II.png,,
King 180x200,Mattress,Heveya II,Firm,MEU2K200X180F,Heveya Natural Organic Latex Mattress II - King (W180cm x L200cm) - Firm,Pcs,"42,000,000","15,441,542",mattress-heveya-II.png,,
King 180x200,Mattress,Heveya III,Soft,MEU3K200X180S,Heveya Natural Organic Latex Mattress III - King (W180cm x L200cm) - Soft,Pcs,"49,000,000","16,323,505",mattress-heveya-III.png,,
King 180x200,Mattress,Heveya III,Medium,MEU3K200X180M,Heveya Natural Organic Latex Mattress III - King (W180cm x L200cm) - Medium,Pcs,"49,000,000","17,368,694",mattress-heveya-III.png,,
King 180x200,Mattress,Heveya III,Firm,MEU3K200X180F,Heveya Natural Organic Latex Mattress III - King (W180cm x L200cm) - Firm,Pcs,"49,000,000","19,011,451",mattress-heveya-III.png,,
King 180x200,Mattress,Heveya III,Medium/Firm,MEU3K200X180MF,Heveya  Natural Organic Latex Mattress III - King (W180cm x L200cm) - Medium/Firm,Pcs,"49,000,000","18,190,073",mattress-heveya-III.png,,
King 180x200,Mattress,Hospitality,,MEUHK180X200,Heveya Hospitality Mattress - King (W180cm x L200cm),Pcs,"21,200,000","8,108,220",mattress-heveya-hospitality.png,,
King 180x200,Mattress,Topper,,TEU1K200X180S,Heveya Natural Organic Latex  Topper - King (W180cm x L200cm) - Soft,Pcs,"11,700,000","4,345,008",mattress-heveya-topper.png,,
Queen 160x200,Mattress,Heveya I,Soft,MEU1Q200X160S,Heveya Natural Organic Latex Mattress I  -  Queen (W160cm x L200cm) - Soft,Pcs,"31,000,000","9,489,701",mattress-heveya-I.png,,
Queen 160x200,Mattress,Heveya I,Medium,MEU1Q200X160M,Heveya Natural Organic Latex Mattress I  - Queen (W160cm x L200cm) - Medium,Pcs,"31,000,000","10,286,150",mattress-heveya-I.png,,
Queen 160x200,Mattress,Heveya I,Firm,MEU1Q200X160F,Heveya Natural Organic Latex Mattress I - Queen (W160cm x L200cm) - Firm,Pcs,"31,000,000","11,480,731",mattress-heveya-I.png,,
Queen 160x200,Mattress,Heveya II,Soft,MEU2Q200X160S,Heveya Natural Organic Latex Mattress  II  - Queen (W160cm x L200cm) - Soft,Pcs,"39,500,000","11,568,991",mattress-heveya-II.png,,
Queen 160x200,Mattress,Heveya II,Medium,MEU2Q200X160M,Heveya Natural Organic Latex Mattress II - Queen (W160cm x L200cm) - Medium,Pcs,"39,500,000","12,498,336",mattress-heveya-II.png,,
Queen 160x200,Mattress,Heveya II,Firm,MEU2Q200X160F,Heveya Natural Organic Latex Mattress II  -  Queen (W160cm x L200cm) - Firm,Pcs,"39,500,000","13,958,152",mattress-heveya-II.png,,
Queen 160x200,Mattress,Heveya III,Soft,MEU3Q200X160S,Heveya Natural Organic Latex Mattress III  -  Queen (W160cm x L200cm) - Soft,Pcs,"47,000,000","8,528,071",mattress-heveya-III.png,,
Queen 160x200,Mattress,Heveya III,Medium,MEU3Q200X160M,Heveya Natural Organic Latex Mattress III  - Queen (W160cm x L200cm) - Medium,Pcs,"47,000,000","9,050,758",mattress-heveya-III.png,,
Queen 160x200,Mattress,Heveya III,Firm,MEU3Q200X160F,Heveya Natural Organic Latex III - Queen (W160cm x L200cm) - Firm,Pcs,"47,000,000","9,872,044",mattress-heveya-III.png,,
Queen 160x200,Mattress,Hospitality,,MEUHQ160X200,Heveya Hospitality Mattress - Queen (W160cm x L200cm),Pcs,"17,800,000","7,309,530",mattress-heveya-hospitality.png,,
Queen 160x200,Mattress,Topper,,TEU1Q200X160S,Heveya Natural Organic Latex Topper  -  Queen (W160cm x L200cm) - Soft,Pcs,"9,800,000","3,954,190",mattress-heveya-topper.png,,
Single 90x200,Mattress,Heveya I,Soft,MEU1S200X90S,Heveya  Natural Organic Latex Mattress I  - Single (W90cm x L200cm) - Soft,Pcs,"22,500,000","5,520,616",mattress-heveya-I.png,,
Single 90x200,Mattress,Heveya I,Medium,MEU1S200X90M,Heveya Natural Organic Latex Mattress I  -  Single (W90cm x L200cm) - Medium,Pcs,"22,500,000","5,968,607",mattress-heveya-I.png,,
Single 90x200,Mattress,Heveya I,Firm,MEU1S200X90F,Heveya Natural Organic Latex Mattress I - Single (W90cm x L200cm) - Firm,Pcs,"22,500,000","6,640,501",mattress-heveya-I.png,,
Single 90x200,Mattress,Heveya II,Soft,MEU2S200X90S,Heveya Natural Organic Latex Mattress II  -  Single (W90cm x L200cm) - Soft,Pcs,"25,000,000","6,715,989",mattress-heveya-II.png,,
Single 90x200,Mattress,Heveya II,Medium,MEU2S200X90M,Heveya Natural Organic Latex Mattress II  - Single (W90cm x L200cm) - Medium,Pcs,"25,000,000","7,238,676",mattress-heveya-II.png,,
Single 90x200,Mattress,Heveya II,Firm,MEU2S200X90F,Heveya Natural Organic Latex Mattress II - Single (W90cm x L200cm) - Firm,Pcs,"25,000,000","8,059,962",mattress-heveya-II.png,,
Single 90x200,Mattress,Heveya III,Soft,MEU3S200X90S,Heveya Natural Organic Latex Mattress  III  - Single (W90cm x L200cm) - Soft,Pcs,"31,000,000","8,528,071",mattress-heveya-III.png,,
Single 90x200,Mattress,Heveya III,Medium,MEU3S200X90M,Heveya Natural Organic Latex Mattress III  -  Single (W90cm x L200cm) - Medium,Pcs,"31,000,000","9,050,758",mattress-heveya-III.png,,
Single 90x200,Mattress,Heveya III,Firm,MEU3S200X90F,Heveya Natural Organic Latex Mattress III - Single (W90cm x L200cm) - Firm,Pcs,"31,000,000","9,872,044",mattress-heveya-III.png,,
Single 90x200,Mattress,Hospitality,,MEUHS90X200,Heveya Hospitality Mattress - Single (W90cm x L200cm),Pcs,"12,500,000","4,364,150",mattress-heveya-hospitality.png,,
Single 90x200,Mattress,Topper,,TEU1S200X90S,Heveya Natural Organic Latex Topper - Single (W90cm x L200cm) - Soft,Pcs,"6,900,000","2,587,183",mattress-heveya-topper.png,,
,Pillow,Pillow 1,,PSLIA68X38S,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,Pcs,"1,800,000","400,819",,1,45
,Pillow,Pillow 2,,PS1A70X40S,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,Pcs,"1,800,000","450,499",,5,27
,Pillow,Pillow 3,,PC1A70X40S,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 9/11.5cm) - Heveya 3,Pcs,"1,800,000","484,539",,4,28
,Pillow,Pillow 4,,PS1A70X40LM,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,Pcs,"1,800,000","459,009",,0,66
,Pillow,Pillow 5,,PS1A70X40LF,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 5,Pcs,"1,800,000","500,640",,3,18
,Pillow,Pillow 6,,PS1A70X40HF,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 6,Pcs,"1,800,000","609,201",,0,52
,Pillow,Bolster,,PB1A92X22M,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),Pcs,"1,800,000","237,922",,,
,Pillow,Other,,PREGNANCY,Heveya Pregnancy Pillow  U-Shaped,Pcs,"1,800,000","343,723",,,
,Pillow,Other,,TPHH2,Travel Pillow - Half Heveya 2,Pcs,"950,000","262,018",,,
,Pillow,Other,,SPAPILLOW,Heveya Natural Organic Latex SPA Pillow,Pcs,"950,000","159,064",,,
,Pillow,Other,,PB1A48X14M,Heveya Natural Organic Latex Travel Mini Bolster - ( L48cm x ø14cm),Pcs,"1,150,000","139,350",,,
,Pillow,Junior,,JCP1T44X27M,Heveya Toddler Contour Pillow - 48 cm x 33 cm,Pcs,"970,000","334,304",,,
,Pillow,Junior,,JFP1T50X30M,Heveya Toddler Flat Pillow - 55 cm x 36 cm,Pcs,"970,000","191,922",,,
,Pillow,Junior,,JDP1B30X25M,Heveya Toddler Pillow - Baby Donut - 30cm x 25cm x 5cm,Pcs,"970,000","226,970",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSW2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases  - Super King (200cm x 200cm) - White,Set,"2,350,000","614,972",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSS2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases  - Super King (200cm x 200cm) - Sand,Set,"2,350,000","614,972",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSG2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases  -  Super King (200cm x 200cm) - Grey,Set,"2,350,000","614,972",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSDG2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases  - Super King (200cm x 200cm) - Dark Grey,Set,"2,350,000","614,972",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSSG2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - Super King (200cm x 200cm) - Sage,Set,"2,350,000","614,972",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSMG2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - Super King (200cm x 200cm) - Moss Green,Set,"2,350,000","614,972",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSBM2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - Super King (200cm x 200cm) - Blush Mauve,Set,"2,350,000","614,972",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSBO2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases  - Super King (200cm x 200cm) - Burnt Orange,Set,"2,350,000","614,972",,,
Super King,Bamboo Bedsheet,Bamboo Fitted,,SSL2SK200X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - Super King (200cm x 200cm) - Lilac,Set,"2,350,000","614,972",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSW2K200X180FI,Bamboo Fitted Sheet Set + 2 Pillow Cases -  King (180cm x 200cm) -  White,Set,"2,250,000","541,657",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSS2K200X180FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm) - Sand,Set,"2,250,000","541,657",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSG2K200X180FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm) - Grey,Set,"2,250,000","541,657",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSDG2K200X180FI,Bamboo Fitted Sheet Set + 2 Pillow Cases -  King (180cm x 200cm) - Dark Grey,Set,"2,250,000","541,657",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSSG2K180X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm) - Sage,Set,"2,250,000","541,657",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSMG2K180X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases  - King (180cm x 200cm) - Moss Green,Set,"2,250,000","541,657",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSBM2K180X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm) - Blush Mauve,Set,"2,250,000","541,657",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSBO2K180X200FI,Bamboo - Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm)  - Burnt Orange,Set,"2,250,000","541,657",,,
King,Bamboo Bedsheet,Bamboo Fitted,,SSL2K200X180FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - King (180cm x 200cm) - Lilac,Set,"2,250,000","541,657",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSW2Q200X160FI,Bamboo Fitted Sheet Set + 2 Pillow Cases  -  Queen (160cm x 200cm) - White,Set,"2,050,000","522,363",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSS2Q200X160FI,Bamboo Fitted Sheet Set + 2 Pillow Cases -  Queen (160cm x 200cm) - Sand,Set,"2,050,000","522,363",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSG2Q200X160FI,Bamboo Fitted Sheet Set + 2 Pillow Cases -  Queen (160cm x 200cm) - Grey,Set,"2,050,000","522,363",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSDG2Q200X160FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - Queen (160cm x 200cm) - Dark Grey,Set,"2,050,000","522,363",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSSG2Q200X160FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - Queen (160cm x 200cm) - Sage,Set,"2,050,000","522,363",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSMG2Q200X160FI,Bamboo Fitted Sheet Set + 2 Pillow Cases -  Queen (160cm x 200cm)  - Moss Green,Set,"2,050,000","522,363",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSBM2Q160X200FI,Bamboo Fitted Sheet Set + 2 Pillow Cases - Queen (160cm x 200cm) - Blush Mauve,Set,"2,050,000","522,363",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSBO2Q160X200FI,Bamboo Fitted Sheet Set  + 2 Pillow Cases - Queen (160cm x 200cm) - Burnt Orange,Set,"2,050,000","522,363",,,
Queen,Bamboo Bedsheet,Bamboo Fitted,,SSL2Q160X200FI,,Set,,,,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSW1S200X90FI,Bamboo Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm)  - White,Set,"1,550,000","387,307",,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSS1S200X90FI,Bamboo Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm)  - Sand,Set,"1,550,000","387,307",,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSG1S200X90FI,Bamboo Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Grey,Set,"1,550,000","387,307",,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSDG1S200X90FI,Bamboo Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Dark Grey,Set,"1,550,000","387,307",,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSSG1S200X90FI,Bamboo Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Sage,Set,"1,550,000","387,307",,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSMG1S200X90FI,Bamboo Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Moss Green,Set,"1,550,000","387,307",,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSBM1S200X90FI,Bamboo Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Blush Mauve,Set,"1,550,000","387,307",,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSBO1S200X90FI,Bamboo Fitted Sheet Set + 1 Pillow Case - Single (90cm x 200cm) - Burnt Orange,Set,"1,550,000","387,307",,,
Single,Bamboo Bedsheet,Bamboo Fitted,,SSL1S200X90FI,,Set,,,,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSW2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases -    Super King (260cm x 230cm)  - White,Set,"2,950,000","851,846",,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSS2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm)  - Sand,Set,"2,950,000","851,846",,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSG2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Grey,Set,"2,950,000","851,846",,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSDG2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Dark Grey,Set,"2,950,000","851,846",,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSSG2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Sage,Set,"2,950,000","851,846",,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSMG2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases  -  Super King (260cm x 230cm) - Moss Green,Set,"2,950,000","851,846",,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSBM2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Blush Mauve,Set,"2,950,000","851,846",,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSBO2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases  - Super King (260cm x 230cm) - Burnt Orange,Set,"2,950,000","851,846",,,
Super King,Bamboo Bedsheet,Bamboo Duvet,,SSL2SK260X230DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Lilac,Set,"2,950,000","851,846",,,
King,Bamboo Bedsheet,Bamboo Duvet,,SSW2K240X220DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - White,Set,"2,850,000","804,050",,,
King,Bamboo Bedsheet,Bamboo Duvet,,SSS2K240X220DU,Bamboo Duvet Sheet Set + 2 Pillow Cases  - King (240cm x 220cm) - Sand,Set,"2,850,000","804,050",,,
King,Bamboo Bedsheet,Bamboo Duvet,,SSG2K240X220DU,Bamboo Duvet Sheet Set + 2 Pillow Cases  - King (240cm x 220cm) - Grey,Set,"2,850,000","804,050",,,
King,Bamboo Bedsheet,Bamboo Duvet,,SSDG2K240X220DU,Bamboo Duvet Sheet Set + 2 Pillow Cases  - King (240cm x 220cm) - Dark Grey,Set,"2,850,000","804,050",,,
King,Bamboo Bedsheet,Bamboo Duvet,,SSSG2K240X220DU,Bamboo Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Sage,Set,"2,850,000","804,050",,,
King,Bamboo Bedsheet,Bamboo Duvet,,SSMG2K240X220DU,Bamboo Duvet Sheet Set + 2 Pillow Cases  - King (240cm x 220cm) - Moss Green,Set,"2,850,000","804,050",,,
